OBJECTID,STAT_ID,BAN,TAMBON,DISTRICT,PROVINCE,UTM_E,UTM_N,YEAR,DATA_SERVI
1,UTD-01,ห้วยเรือ,แม่พูล,ลับแล,อุตรดิตถ์,600953,1964354,2556,http://landslide2.dmr.go.th/
2,PKT-02,กะตะ,กะรน,เมือง,ภูเก็ต,424065,865258,2556,http://landslide2.dmr.go.th/
3,MNG-01,ยาง,แม่งอน,ฝาง,เชียงใหม่,509406,2189176,2558,http://landslide2.dmr.go.th/
4,MFL-01,ห้วยไร่สามัคคี,แม่ฟ้าหลวง,แม่ฟ้าหลวง,เชียงราย,586063,2242302,2558,http://landslide2.dmr.go.th/
5,TK-01,ทุ่งปง,ทุ่งกว๋าว,เมืองปาน,ลำปาง,548996,2049851,2558,http://landslide2.dmr.go.th/
6,LS-01,ลำสินธุ์,ลำสินธุ์,ศรีนครินทร์,พัทลุง,602801,832902,2558,http://landslide2.dmr.go.th/
7,NAK-02,บางสร้าน,หน้าเขา,เขาพนม,กระบี่,497989,920646,2558,http://landslide2.dmr.go.th/
8,MSO-02,สันติคีรี,แม่สลองนอก,แม่ฟ้าหลวง,เชียงราย,565380,2230124,2558,http://landslide2.dmr.go.th/
9,SNI-02,หัวถนน,มะเร็ต,เกาะสมุย,สุราษฎร์ธานี,612620,1045893,2556,http://landslide2.dmr.go.th/
10,SNI-01,สวนทุเรียน,มะเร็ต,เกาะสมุย,สุราษฎร์ธานี,610448,1050421,2556,http://landslide2.dmr.go.th/
11,KBN-02,หน้าหม้อ,กระบี่น้อย,เมือง,กระบี่,494091,907391,2558,http://landslide2.dmr.go.th/
12,MJ-01,แม่แจ๋ม,แจ้ซ้อน,เมืองปาน,ลำปาง,544840,2091889,2558,http://landslide2.dmr.go.th/
13,PMP-01,สบป่อง,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,421122,2158651,2564,http://landslide2.dmr.go.th/
14,PF1-02,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,http://landslide2.dmr.go.th/
15,MSI-02,หินแตก,แม่สลองใน,แม่ฟ้าหลวง,เชียงราย,566646,2239652,2558,http://landslide2.dmr.go.th/
16,KCL-01,นาเหรน,คลองเฉลิม,ศรีนครินทร์,พัทลุง,605148,815840,2558,http://landslide2.dmr.go.th/
17,KPN-01,เทพพนม,เขาพนม,เขาพนม,กระบี่,496348,913137,2558,http://landslide2.dmr.go.th/
18,BKT-02,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,http://landslide2.dmr.go.th/
19,CMI-02,พระธาตุดอยสุเทพ,ช้างเผือก,เมือง,เชียงใหม่,491674,2079161,2556,http://landslide2.dmr.go.th/
20,CMI-01,ดอยปุย,สุเทพ,เมือง,เชียงใหม่,487861,2080055,2556,http://landslide2.dmr.go.th/
21,UTD-02,ผามูบ,แม่พูล,ลับแล,อุตรดิตถ์,607333,1959435,2556,http://landslide2.dmr.go.th/
22,UTD-03,ห้วยใต้,แม่พูล,ลับแล,อุตรดิตถ์,609675,1959389,2556,http://landslide2.dmr.go.th/
23,NRT01,ขุนคีรี,กำโลน,ลานสกา,นครศรีธรรมราช,585377,933673,2556,http://landslide2.dmr.go.th/
24,JS-01,ป่าคา,แจ้ซ้อน,เมืองปาน,ลำปาง,543237,2090596,2558,http://landslide2.dmr.go.th/
25,PKT-01,มอญ(ชายวัด),ป่าตอง,กะทู้,ภูเก็ต,424782,873274,2556,http://landslide2.dmr.go.th/
